place_id,name,info,opentime,lat,lng,address,category,phone,label,station,average_score,thumbnail,score_count,theme_keyword
12144,흰여울문화마을,"절영해안산책로 가파른 담벼락 위로 독특한 마을 풍경이 보인다. 해안가 절벽 끝에 바다를 따라 난 좁은 골목길 안쪽으로 작은 집들이 다닥다닥 붙어 있다. 피난민들의 애잔한 삶이 시작된 곳이자 현재는 마을주민과 함께하는 문화마을공동체 흰여울문화마을이 자리한 곳이다.
부산의 대표적인 원도심 흰여울길은 봉래산 기슭에서 굽이쳐 내리는 물줄기가 마치 흰 눈이 내리는 모습과 비슷하다 하여 이름 지어졌다. 2011년 12월, 낡은 가옥을 리모델링하면서 현재는 영도의 생활을 느낄 수 있는 독창적인 문화예술마을로 거듭났다.
",연중무휴,35.07885,129.04402,부산광역시 영도구 흰여울길,0,051-419-4067,즐길거리,,4.25,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222164810529_ttiel,109,"['평화로운', '깨끗한', '소박한', '옛모습', '아기자기', '시장', '전망대', '산책로', '야경', '포장마차', '힐링', '경치', '데이트', '드라이브', '촬영지']"
12145,깡깡이 예술마을,"영도다리 건너 자갈치시장 맞은 편 물양장에 배들이 가득 들어차 있다. 세상에 못 고치는 배는 없다는 전설적인 수리조선의 메카 깡깡이 예술마을이 있는 곳이다. 깡깡이란 말은 수리 조선소에서 배 표면에 녹이 슬어 너덜해진 페인트나 조개껍데기를 망치로 두드려 벗겨낼 때 깡깡 소리가 난다 하여 생겨난 말이다. 마을 전체에 깡깡 소리가 그칠 날이 없었던 그 시절부터 대평동은 그렇게 깡깡이 예술마을로 불리게 되었다.


",매주 월요일 (투어 등 시설),35.092648,129.03255,부산시 영도구 대평북로 36 깡깡이 안내센터,0,051-418-3336,즐길거리,,2.58,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222171209005_ttiel,12,"['마을', '체험', '가족', '박물관', '예술']"
12146,국립해양박물관,"부산하면 바다, 바다하면 부산이라고들 하지만 우리는 대한민국 해양에 대해 얼마나 알고 있을까?
세상의 모든 바다 이야기가 시작되는 국립해양박물관이 과거와 현재 그리고 미래의 바다로 안내한다.
부산 앞 바다를 배경으로 웅장한 외관을 자랑하는 건물이 눈에 띈다. 물방울이 튀어 오르는 모양을 형상화한 외관은 마치 은하계를 가로지르는 우주선 같다. 국립해양박물관은 바다의 문화, 역사, 과학 그리고 고고학에 이르는 전문적인 자료를 전시하고, 수준 높은 해양체험프로그램을 제공하는 대한민국 유일의 종합해양박물관이다.",매주 월요일,35.078728,129.08018,부산시 영도구 해양로301번길 45,0,051-309-1900,군사박물관,,3.97,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222175627506_ttiel,38,"['조그마한', '재미있는', '화려한', '웅장한', '깨끗한', '공원', '박물관', '도서관', '아쿠아리움', '과학관', '주말나들이', '가족여행', '가족나들이', '드라이브', '체험관']"
12147,태종대 유원지,초록으로 우거진 싱그러운 숲길을 거닐며 푸른 바다를 한눈에 바라볼 수 있는 곳. 오랜 세월 파도에 깎여 각양각색의 신비를 가지게 된 바위해안이 그 수려함을 자랑하는 곳. 부산 영도 남쪽 끝에 자리하고 있는 태종대의 이야기다. 태종대는 신라의 태종무열왕이 이곳의 경치에 반해 활쏘기를 즐기며 쉬어갔다 하여 유래된 이름이라 한다. 짙푸른 바다에 둘러싸인 기암괴석과 우거진 녹음이 반가운 인사를 건네는 태종대는 빠지지 않는 전국 여행코스 중 하나다.,연중무휴,35.052643,129.0878,부산광역시 영도구 전망로 24,0,051-405-8745,공원,,4.39,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222180829962_ttiel,76,"['재미있는', '조그마한', '깨끗한', '화려한', '편안한', '조개구이', '유람선', '전망대', '돼지국밥', '수국', '가족여행', '경치', '드라이브', '등산', '기차여행']"
12148,죽성성당,"동해바다의 에메랄드빛을 고스란히 담고 있는 기장 앞바다는 이제 많은 이들이 찾는 곳이 됐다. 날이 좋으면 좋은 대로, 날이 흐리면 흐린 대로 드라이브하기 더없이 좋은 코스에 경치 좋은 낭만카페를 찾아 기장으로 오는 사람들. 이들이 빼놓지 않고 찾는 곳, 기장의 죽성성당이다.
부산 기장군 죽성리에 위치한 죽성성당은 작은 어촌마을에 위치한 지리적 특성 덕분인지 남다른 분위기를 간직하고 있다. 중세시대의 어느 바닷가 마을을 그대로 옮겨 놓은 것 같은 풍경은 마치 한 폭의 그림 같다. 바위 위로 부서지는 하얀 포말은 성당의 붉은 지붕과 대비되어 이곳을 찾는 이들의 시선을 한눈에 사로잡는다.",연중무휴,35.241013,129.24864,부산광역시 기장군 기장읍 죽성리 134-7,0,,즐길거리,,3.62,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222181829937_ttiel,29,"['아담한', '이국적', '화려한', '소박한', '깨끗한', '드라마세트장', '벽화마을', '세트장', '드라이브', '포장마차', '나들이', '경치', '데이트', '드라마촬영지', '힐링']"
12149,아홉산 숲,"일제강점기, 해방과 전쟁을 지나 산업화를 거치면서도 개방되지 않았던 자연 본연의 모습을 간직한 숲.
400년 간 세상에 공개되지 않았던 이곳, 부산 기장군에 위치한 아홉산숲이 그 주인공이다.
아홉산숲의 아홉산은 아홉 골짜기를 품고 있다는 뜻의 순 우리말이 남아있는 이름이다.
이곳은 2014년, 영화 <군도>의 촬영지가 되며 알려지기 시작했고, 2016년, 400년 간 숲을 관리해온 소유주 가족이 일반인공개를 결정하면서 사람들의 방문이 가능해졌다. 이 숲은 오랜 시간동안 그린벨트이자 상수원보호구역으로 지정되어 있었기에 건강한 자연환경과 생태를 그대로 간직할 수 있었다.",매주 월요일,35.287334,129.17046,부산광역시 기장군 철마면 미동길 37-1,0,051-721-9183,산림,,3.37,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222185645736_ttiel,71,"['조그마한', '깨끗한', '고즈넉한', '편안한', '신비로운', '수목원', '대나무', '편백나무숲', '한우', '산책', '나들이', '데이트', '등산', '영화촬영지', '촬영지']"
12150,해동용궁사,"시원하게 트인 기장 앞바다에서 밀려오는 파도소리를 들어본 적 있는지. 감탄이 절로 나오는 해안절경과 끝이 보이지 않는 망망대해가 바로 내 눈앞에 있다면 어떨까.
바다와 파도와 바람과 그리고 숨멋뷰가 기다리고 있는 풍경, 해동용궁사로 가자.
부산 기장의 시랑리 해안에 위치한 해동용궁사는 정암화상(晸庵和尙)이 바닷가에서 용을 타고 승천하는 관세음보살을 꿈에 보았다는 이야기에서 이름이 유래되었다. 산과 바다가 맞닿은 육지의 끝자락에 해동용궁사가 한 폭의 그림처럼 걸려있다.",연중무휴,35.188583,129.22346,부산광역시 기장군 기장읍 용궁길 86,0,051-722-7744 ,종교적인 장소,,3.56,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222190823385_ttiel,142,"['사찰', '핫플레이스', '경치', '사진', '일출']"
12151,임랑해수욕장 ,"여름하면 바다, 바다하면 부산이지만 아직까지 타지인들에게는 많이 알려지지 않은 해수욕장이 있다.
부산 시민이 사랑하는, 기장군의 양대 해수욕장 중 하나인 임랑해수욕장이 그 주인공이다.
입에 머무르는 느낌마저 따뜻한 ‘임랑’이라는 이름은 아름다운 송림(松林)과 달빛에 반짝이는 은빛 파랑(波浪)의 두 글자에서 유래되었다. 임랑해수욕장의 백사장은 1km 이상 이어지며 바다를 감싸고 있는데 그 색이 매우 밝은 게 특징이다.  이곳을 처음 방문하는 이들이라면 첫눈에 하얀 백사장에 반하고 말 것이다.
여름이면 해수욕뿐만 아니라 해변에서 무료로 관람할 수 있는 ‘기장 임랑 썸머뮤직페스티벌’을 비롯하여, 해변 대학가요제와 어린이 동요대회 등의 행사도 열린다.",연중무휴,35.31905,129.26451,부산광역시 기장군 장안읍 임랑리,0,051-709-5448,해변,,4.33,https://www.visitbusan.net/uploadImgs/files/cntnts/20191224093809621_ttiel,15,"['아늑한', '조그마한', '깨끗한', '화려한', '소박한', '치킨', '해변', '캠핑', '벽화마을', '산책', '힐링', '데이트', '드라이브', '기차여행', '나들이']"
12152,"문화공감 수정, 초량1941","부산이 간직한 근현대 역사, 동구는 그 씨앗이 퍼져 이야기꽃을 피운 동네다. 그 이야기를 담고 있는 길을 따라가다 보면 ‘문화공감 수정’을 만날 수 있다.
문화공감 수정은 본래 ‘정란각’이라는 이름을 갖고 있었다. 1943년 일제강점기 당시 지어진 건물로 일본의 주거 양식을 따라 만들어졌다. 공간이 주는 독특한 매력 덕분에 많은 영화, 뮤직비디오의 배경이 되기도 했는데 아이유의 밤편지 MV, 악동뮤지션의 사춘기 MV, 범죄와의 전쟁, 장군의 아들 등이 이곳에서 촬영되었다.
주변의 현대식 주택과 대비되는 ‘수정’의 정원으로 들어서면 내리쬐는 햇볕과 푸른 나무가 어우러진 정원의 풍경이 예스러움을 더한다. 곧바로 내부로 들어가지 않은 채, 잠시 정원에서 한숨을 돌리는 것도 좋겠다. 마치 과거로 시간여행을 한 듯 고즈넉한 분위기가 주변을 감싼다.
** 문화공감 수정 임시휴관 안내
휴관 일정 : 2021년 10월 1일 ~ 별도 공지시까지","문화공감 수정 명절 휴무
초량1941 매주 월요일",35.125793,129.04265,"문화공감 수정 부산광역시 동구 홍곡로 75
초량1941 부산광역시 동구 망양로 533-5",0,051-441-0004 ,카페,,0,https://www.visitbusan.net/uploadImgs/files/cntnts/20191224171115847_ttiel,0,"['느낌있는', '고즈넉한', '분위기좋은', '엔틱한', '옛스러운분위기', '카페', '브라우니', '수제맥주', '밀크티', '디저트', '핫플레이스', '경치', '데이트', '힐링', '신선한']"
12153,일광해수욕장,"부산시민이 사랑하는 바다, 일광해수욕장.
역사적으로 기장 8경 중 하나로 꼽힐 만큼 아름다운 일광해수욕장은 과거에 해안선을 따라 노송 숲이 있었다고 전해지는데 고려시대부터 정몽주를 비롯한 인사들이 유람했던 절경 중 하나였다고 한다.

일광해수욕장이 위치하고 있는 일광면 삼성리의 이름은 삼성대(三聖臺)에서 유래되었다. 삼성대는 ‘샘섟대’라는 옛말에서 비롯되었다고 전해지는데, 샘은 약수샘, 섟은 배를 매어두는 곳을 말한다고 한다. 현재는 백사장의 가운데 둔덕을 가리켜 삼성대라고 부른다.
일광해수욕장은 1953년 발표된 오영수의 단편소설 <갯마을>의 배경이 될 만큼 부산의 바다마을을 대표하는 상징성을 가진 곳이기도 하다.",연중무휴,35.260025,129.2336,부산광역시 기장군 일광면 삼성3길 17 ,0,051-709-5446,해변,일광역 1번 출구에서819m,4.11,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225143353231_ttiel,32,"['낭만적인', '아담한', '깨끗한', '화려한', '편안한', '해변', '캠핑', '해루질', '산책', '횟집', '나들이', '경치', '드라이브', '힐링', '촬영지']"
12154,구 백제병원,"부산원도심 이바구길 시작점에 서 있는 붉은 벽돌색 건물 하나. 부산최초의 근대식 종합병원이었던 구 백제병원이다. 1922년 개원하여 당시 최고의 병원으로 유명세를 탔으나 1932년 폐업 이후 중국요리점, 일본군 장교숙소, 부산치안사령부 등을 거치며 굴곡진 부산의 역사와 함께 그 세월을 고스란히 견뎌왔다.

현재 1층에는 구 백제병원의 내?외부 건물구조와 흔적을 그대로 보존한 카페가 성업 중이다. 은은하게 퍼지는 커피향 즐기며 1920년대의 공간 속으로 함께 들어가 보자.",연중무휴,35.116383,129.03917,부산광역시 동구 중앙대로209번길 16,0,051-464-0332,카페,,3.89,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225145805369_ttiel,51,"['카페', '건축물', '데이트', '역사', '문화재']"
12155,백산기념관,백산 안희제 선생은 고향땅을 팔아 백산상회를 열고 그 수익금으로 독립운동 자금을 지원했다. 백산상회는 1919년 백산무역주식회사로 확대된 후 1928년 일제의 탄압으로 문을 닫기까지 국내독립운동의 중요한 거점으로 활용되었다. 1942년 일경에 체포된 선생은 모진 고문의 후유증으로 끝내 독립을 보지 못하고 1943년 순국하였다. 백산기념관은 백산 안희제 선생의 자주독립정신을 기리기 위해 백산상회가 있던 그 자리에 건립되었다.,"월요일, 공휴일(삼일절, 현충일, 광복절 제외)",35.101955,129.03456,부산광역시 중구 백산길 11,0,051-600-4067,역사박물관,중앙역 1번 출구에서214m,4.67,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225150331107_ttiel,3,"['돈가스', '공원', '시장', '토스트', '박물관']"
12156,한성1918 부산생활문화센터,중앙동 원도심 골목길을 걷다가 만나게 되는 한성1918은 한성은행 부산지점으로 1918년에 설립되어 40여 년간 은행업무를 보던 곳이었다. 근대 부산의 부흥기를 함께한 대표적인 금융권 건물이다. 구조보강 과정을 거쳐 2018년 4월 한성1918-부산생활문화센터로 새롭게 탄생하였다. 한성1918은 누구나 참여 가능한 생활문화 활동을 지원하는 복합공간으로서의 역할을 하고 있으며 길을 걷다 우연히 들러 책 한 권 읽는 여유를 즐길 수 있는 장소이기도 하다.,주말,35.10178,129.03444,부산광역시 중구 백산길 13,0,051-257-8038,즐길거리,중앙역 1번 출구에서210m,5,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225150936833_ttiel,2,"['카페', '박물관', '나들이', '조용한', '전시회']"
12157,조선통신사역사관,조선통신사역사관은 한?일 양국의 평화를 위해 조선에서 일본으로 파견된 대규모 국가사절단인 조선통신사의 행적을 재미있게 알려주는 탐방 공간이다. 이와 더불어 매년 5월 광복로 일원에서는 한?일 양국이 참가하는 통신사 행렬 재현 조선통신사축제가 열린다.,"매주 월요일, 1월1일",35.135754,129.06203,부산광역시 동구 자성로99,0,051-631-0858,역사박물관,,3.75,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225151358656_ttiel,4,"['재미있는', '공원', '시장', '성곽', '박물관', '유적지', '나들이', '휴식']"
12158,부산해양자연사박물관,"바닷속 신비함을 만날 수 있는 부산해양자연사박물관은 살아있는 해양의 보고다. 국제적으로 희귀한 자연사 자료 25,000여 점을 수집?전시하고 있다. 호기심 가득한 어린이들을 위한 최고의 체험관.","매주 월요일, 1월 1일",35.22178,129.07591,부산광역시 동래구 우장춘로 175,0,051-553-4944,박물관,온천장역 1번 출구에서1479m,4.12,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225151830289_ttiel,13,"['조그마한', '재미있는', '화려한', '편안한', '닥터피쉬', '공원', '고래', '박물관', '아쿠아리움', '나들이', '비오는날', '데이트', '체험관', '휴식']"
12159,부산근대역사관,"대한민국의 아픈 역사 일제강점기. 일본의 대륙 침략을 위한 교두보였던 부산은 지금도 일본이 남긴 아픔의 흔적을 고스란히 간직하고 있다. 부산근대역사관은 파란만장했던 근대 부산의 역사를 간직한 채, 치열했던 그 시절을 잊어버리지 말라 한다.
근대화 시기의 부산 역사에 대해선 잘 기억하지 못해도 동양척식주식회사는 익숙하다. 일본이 부산을 손아귀에 넣고자 1929년에 설립한 회사가 동양척식주식회사이며, 현재의 부산근대역사관이 있는 건물이다. 해방 후에는 미국이 미문화원으로 50년 동안 무단으로 사용하다가 부산 시민의 끈질긴 요구 끝에 한국에 반환한, 정말 사연 많은 건물이다.

** 부산근대역사관은 리모델링으로 인해 2022년 6월까지 휴관합니다. ","1월 1일, 매주 월요일",35.10266,129.03114,부산 중구 대청로 104,0,051-253-3845,역사박물관,중앙역 5번 출구에서449m,4.8,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225152803689_ttiel,10,"['엔틱한', '재미있는', '웅장한', '옛모습', '깨끗한', '공원', '시장', '온천', '박물관', '책방골목', '체험관', '나들이', '데이트', '유물', '기차여행']"
12160,보수동책방골목,"시간을 되돌아가는 길
마음에 책갈피 하나를 꽂다, 보수동책방골목
갈수록 바빠지는 삶. ‘빨리 빨리’를 좇다 보면 가끔은 모든 것을 내려놓고 잠시 쉬고 싶을 때가 있다. 그럴 때 가던 걸음을 멈추고 한숨 돌리기 좋은 곳, 보수동책방골목으로 가보자!
부산 중구 보수동에 위치한 보수동책방골목은 한국전쟁 당시 부산이 임시수도가 되었을 때 조성된 곳이다. 이북에서 피난 온 어느 부부가 박스를 깔고 각종 잡지와 헌책 등으로 노점을 열면서 그 역사가 시작되었다. 종전 후 부산으로 온 많은 피란민들이 국제시장에 정착하여 힘든 삶을 살던 시절, 학생들과 지식인들은 공부를 하고 싶어도 책을 구하기 어려웠다. 때문에 노점의 헌책방은 성황을 이루었고 차츰 다른 피란민들이 가세하여 하나둘 서점이 늘어난 것이 지금의 책방골목이 되었다.","정기휴일(첫째,셋째주 화요일,신정,구정,추석)",35.103367,129.02663,부산광역시 중구 책방골목길 16,0,051-253-8253,즐길거리,,3.91,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225154726785_ttiel,33,"['골목', '책방골목', '나들이', '핫플레이스', '사진']"
12161,임시수도기념관,"1950년 6월 25일, 민족 최대의 비극 한국전쟁이 일어난 직후 대통령을 비롯한 정부 기관들이 부산으로 옮겨졌고 부산은 임시수도가 되었다. 이때 경남 도지사 관사를 대통령 관저로 사용하게 된 것이, 오늘날까지 부산의 역사를 담은 기념물로 이어져오고 있다.
현재의 임시수도기념관은 대통령 관저 건물과 전시관으로 나누어진다.
대통령 관저 내부에는 응접실, 서재, 집무실 등을 그대로 재현하였다. 당시 응접실은 실질적으로 국내 정치의 중요 결정과 대외적 외교업무가 이루어진 공간이었고, 흔치 않은 서양식 구조로 되어 있는 점으로 미루어 피란수도 시절 중요한 역할을 담당했음을 알 수 있다.
** 코로나19의 여파로 임시수도기념관은 이용제한이 있을 수 있으니 사전에 홈페이지 안내사항을 꼭 확인해 주세요.","1월 1일, 매주 월요일",35.103527,129.01735,부산광역시 서구 임시수도기념로 45,0,051-244-6345,역사박물관,토성역 2번 출구에서385m,4.05,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225160342484_ttiel,10,"['재미있는', '고즈넉한', '화려한', '소박한', '옛모습', '공원', '시장', '박물관', '다방', '밀면', '나들이', '경치', '유물', '숨은', '휴식']"
12162,동아대학교 석당박물관,"등록문화재 41호, 부산 임시수도정부청사, 대한민국 3대 대학박물관. 
하나의 건물을 일컫는 세 가지 이름, 동아대학교 석당박물관이 그 주인공이다.
임시정부청사와 부산지방검찰청으로 사용된 건물을 동아대학교에서 매입해 현재의 석당박물관을 개관하였다. 근대문화유산의 역사적 가치를 인정받아 2002년 등록문화재 41호로 지정되었다.

** 코로나19의 여파로 동아대석당박물관은 이용제한이 있을 수 있으니 사전에 홈페이지 안내사항을 꼭 확인해 주세요.
","매주 월요일, 개교기념일, 법정공휴일",35.10497,129.01926,부산광역시 서구 구덕로 225,0,051-200-8493,박물관,토성역 2번 출구에서333m,4.6,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225160959194_ttiel,10,"['재미있는', '이국적', '미술관', '체험학습', '박물관', '공연', '도시락', '기념일', '유물', '휴식']"
12163,국립일제강제동원역사관,"중일전쟁 발발 후 국가총동원법을 제정한 일본은 조선인들을 강제 동원하여 노동착취 및 인권을 유린했다. 탄광 노무자, 군인, 여자근로정신대라는 이름으로 일본, 만주 등지로 끌려간 조선인들은 혹독한 굶주림과 노역에 시달려야만 했다. 잊으려야 잊을 수 없는 가슴 아픈 역사, 국립일제강제동원역사관에서 함께 기억하고 널리 알리자.

** 코로나19의 여파로 국립일제강제동원역사관은 이용제한이 있을 수 있으니 사전에 홈페이지 안내사항을 꼭 확인해 주세요.
","매주 월요일, 1월 1일, 명절 당일",35.124355,129.09192,부산광역시 남구 홍곡로320번길 100,0,051-629-8600,역사박물관,,4.52,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225162953256_ttiel,29,"['공원', '박물관', '콘서트', '공연', '나들이', '유물', '휴식']"
12164,부산박물관,"‘부산’이라는 이름의 박물관.
그만큼 부산을 대표하는 박물관이자 대한민국의 역사를 담고 있는 곳이다.
1978년 11월에 개관한 ‘부산박물관’은 부산시민의 휴식처이자 구석기 유물부터 고려시대, 조선시대를 거쳐 근현대에 이르기까지 부산의 역사를 한 번에 아우르는 방대한 규모의 전시관이다.
상설전시실은 크게 동래관과 부산관으로 나누어진다.","매주 월요일, 1월 1일",35.12957,129.09451,부산광역시 남구 유엔평화로 63,0,051-610-7111 ,박물관,대연역 3번 출구에서628m,4.4,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225163741459_ttiel,10,"['화려한', '옛모습', '공원', '뽈찜', '유적지', '박물관', '도서관', '나들이', '데이트', '힐링', '유물', '체험관']"
